Quellindex,Dateiname,Bildbeschreibung,Kategorie der Quelle,Motivwelt der Quelle,Stimmung der Quelle,Raumtiefe,Semantische Kopplung,Projektionsraum,Jahreszeit,Tageszeit,Wetter
1,"Calliphora_vicina,_u,_Face,_DC_2014-04-24_-17.46.02_ZS_PMax_-_USGS_Bee_Inventory_and_Monitoring_Laboratory.jpg",Fliegenauge,4,Insekten,9,0.1,1,0,0,0,0
2,1f76741995624a193dcf3b81ed6ed07f Kopie.jpg,Dunkles Holz,4,Rohstoff,1,0.3,1,0,0,0,0
3,2e7152e4c1525aed1323cc0af368369e.jpg,Bunter Mikrokosmos,4,Mikroskop,7,0.8,1,0,0,1,0
4,2bc37eb4809bc449e5820c8a3e981a92.jpg,Tomate,4,Fibonacci ,10,0.1,1,0,1 & 2 & 3,0,0
5,1fa9c1831b14666c8dbbaf7881f8a96a Kopie.jpg,Lamellenpilze,4,Nahaufnahmen,5,0.2,1,0,1 & 2 & 3,0,0
6,0b7885edbe4b9bfcb271bac686547215.jpg,Kokon mit Netz und Stäben,4,Insekten,8,0.9,1,0,0,1,1
7,1a97653e8e5e54276d8d2fad8e44fc3b.jpg,Glitzernde Strukturen Stoff,4,Kunst,9,0.3,1,0,0,1,1
8,0b7885edbe4b9bfcb271bac686547215.jpg,,Etc.,Etc.,Etc.,Etc.,Etc.,Etc.,Etc.,Etc.,Etc.
,,,,,,,,,,,
,GESAMTAUSWAHL:,,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:,GESAMTAUSWAHL:
,1000+,,4,50+,12,Von 0 bis 1 ,0 oder 1,4,5,3,3
,,,1 = Makrosphäre,Wasser,1 = Vertrauen: geborgen/sicher/zuversichtlich,0,0 = keine Kopplung,0 = Alle Räume,0 = Alle Jahreszeiten,0 = Alle Tageszeiten,0 = Alle Wetter
,,,2 = Umwelt,Erde,2 = Angst: bedrohlich/düster/unheimlich,0.1,1 = Kopplung,1 = nur Outdoor,1 = nur Frühling,1 = nur Nacht,1 = nur Schönwetter
,,,3 = Mensch,Feuer ,3 = Freude: glücklich/lebendig/herzlich,0.2,,2 = nur Indoor,2 = nur Sommer,2 = nur Tag,2 = nur Niederschlag
,,,4 = Mikrosphäre,Luft,4 = Trauer: freudlos/melancholisch/leer,0.3,,,3 = nur Herbst,,
,,,,Urbanes,5 = Zufriedenheit: friedlich/entspannend/harmonisch,0.4,,,4 = nur Winter,,
,,,,Nahaufnahmen,6 = Ärger: spannungsgeladen/aggressiv/explosiv,0.5,,,,,
,,,,Unterwasser,7 = Zuneigung: anziehend/schön/attraktiv,0.6,,,,,
,,,,Panoramaweite,8 = Abneigung: abstoßend/verstörend/ekelig,0.7,,,,,
,,,,Tiere,9 = Überraschung: unerwartet/surreal/schwindelerregend,0.8,,,,,
,,,,Sakrales,10 = Vorhersehbarkeit: gewohnt/bekannt/trivial,0.9,,,,,
,,,,Kunst,11 = Staunen: erhaben/monumental/magisch,1,,,,,
,,,,Insekten,12 = Skepsis: zweifelnd/zurückhaltend/misstrauisch,,,,,,
,,,,Fibonacci ,,,,,,,
,,,,Mikroskop,,,,,,,
,,,,Universum,,,,,,,
,,,,Rohstoff,,,,,,,
,,,,Mensch,,,,,,,
,,,,,,,,,,,
,Sequenzer generiert für Alle:,,,,,,,,,,
,Quelle: Standzeit ,,"Zugeordnete Dauer der reinen Standzeit (ohne Blendvorgang) in Sekunden, voraussichtlich zwischen 10 und 30 Sekunden",,,,,,,,
,Blende: Zeitdauer,,"Zugeordnete Dauer des Blendvorgangs (ohne Standzeit) in Sekunden, voraussichtlich zwischen 30 und 240 Sekunden",,,,,,,,
,,,,,,,,,,,
,Visuals Blende übermittelt an Audio:,,,,,,,,,,
,Blendintensität,,LIVE Grad der Transformationsintensität (x 0-1 als Vektor in y-Zeit) ,,,,,,,,
,Meta: Lautheit & Präsenz,,Fester Parameter-Blendwert zwischen Präsent/Laut (1) und Transparent/Leise (0),,,,,,,,
,Meta: Spektrum & Farbigkeit,,Fester Parameter-Blendwert zwischen breites Spektrum/Warm (1) und geringes Spektrum/Kalt (0),,,,,,,,
,Meta: Struktur & Textur,,Fester Parameter-Blendwert zwischen Detailreich/Opulent (1) und Übersichtlich/Minimalistisch (0),,,,,,,,
,Meta: Position & Raumbewegung,,Audio-Ableitung aus mehreren Parameter-Blendwert zwischen Dynamisch/Bewegt (1) und Statisch/Ruhig (0),,,,,,,,
,,,,,,,,,,,
,Visuals Blende empfängt von Audio:,,,,,,,,,,
,Meta: Rhythmik & Geschwindigkeit,,LIVE 4-Band-Audioanalyse für Übernahme von Puls/Rhythmik in visuellen Blendparametern,,,,,,,,
