02437f1b99d252972039a273b5ddeea3.jpg,"High-resolution flames with deep red-orange glow rising from black charred rock, sparks and embers mid-air, photorealistic fire motion, cinematic lighting and contrast, dynamic textures, 8K clarity","flat flame edges, no glow, smooth fire texture, digital artifacts"
0b7885edbe4b9bfcb271bac686547215.jpg,"A cluster of white silkworm cocoons entangled in delicate silk fibers and interwoven dry bamboo stems, close-up macro shot, hyper-detailed textures, ultra-sharp focus, photorealistic lighting, shallow depth of field, natural organic colors, high-resolution 8K, fine fabric strands and matte surface","blurry, overexposed, low detail, artificial, cartoonish, noise artifacts"
0c097d11042805a1fe3540340c683f5a Kopie.jpg,"Ultra close-up macro of an orange peel surface, vibrant gradient from yellow to deep orange, realistic moist texture, pores and dimples in sharp detail, glossy organic surface, photorealistic lighting, highly detailed fruit skin texture, 8K resolution","flat lighting, smooth skin, CGI, unrealistic shine, desaturated"
0ccaf30933840e48ad50cde884c8c6d5.jpg,"Macro shot of a clean water surface with gentle ripples, air bubbles rising beneath the surface, crystal-clear blue tones fading into light background, photorealistic refraction and highlights, sharp natural detail, soft lighting, high-resolution realism","murky water, low resolution, unnatural light, digital artifacts"
0cec52af1f1dacd904b69f3f7479266f.jpg,"Twisted, gnarled wooden root surface with deep creases and organic patterns, photorealistic lighting and shadow play, high texture detail, dry bark and aged wood surface, natural brown and charcoal hues, ultra-sharp focus, 8K resolution","smooth wood, low texture, unrealistic lines, flat detail, synthetic"
15425775078_4ccc76ed64_b.jpg,"Aerial view of snow-covered mountain range with glacier winding through deep valleys, dramatic light and shadow contrast, clear blue sky, highly detailed geological texture, photorealistic alpine scene, 8K resolution","flat lighting, low-res terrain, artificial snow, blurry glacier"
1d5e1b2b3da9e8f242c0e48eefae8333.jpg,"Underwater view from sandy ocean floor with golden ripple reflections, sun rays shimmering through clear blue water, rising air bubbles, photorealistic light distortion, crisp textures, fluid dynamics, cinematic underwater lighting, organic realism, 8K resolution","cloudy water, noisy texture, fake bubbles, harsh shadows"
1da5a2b7e15a1932546ac6c065a72fc1 Kopie.jpg,"Aerial view of a rocky shoreline with turquoise shallow water, visible underwater reefs and stones, photorealistic textures and sunlight reflections, crisp aerial photography detail, realistic earth tones, natural coast formation, 8K high-resolution","foggy, pixelated, synthetic water, low contrast, overprocessed"
1e6812e18af3a45ec02bae39d69a2864 Kopie.jpg,"Surreal border of multicolored flames in blue, purple and orange shades framing a central black void, high-definition fire texture, flowing smoke-like edges, photorealistic lighting, vivid contrast, dynamic flame motion, black background, 8K resolution","flat flames, fake glow, low detail, untextured edges, CGI look"
1e87640a50d7aa6bd952021dde83f811 Kopie.jpg,"Extreme close-up of rough golden flakes, irregular metallic texture, shimmering reflective surfaces, gold foil fragments with sharp and matte edges, high-resolution macro detail, photorealistic metallic shine, warm golden hues","low detail, muddy gold, uniform texture, unrealistic reflections"
2 Kopie.jpg,"Futuristic data grid matrix made of glowing lines and floating digital architecture, perspective depth in a virtual black space, cyan and amber colored beams, photorealistic digital render, cinematic cyberpunk lighting, 8K high-resolution detail","blurry, 2D, flat color, retro grid, noisy render"
26e601b08af4865c636b779a55f80368.jpg,"Close-up of a glowing blue jellyfish with translucent body and trailing tendrils, deep-sea environment with floating particles, photorealistic bioluminescence, high-definition organic textures, black background, cinematic light rays","low-res tentacles, flat lighting, plastic look, unnatural glow, pixel noise"
3845c0d1842ed497904f9a79e5e8d9eb Kopie.jpg,"Surreal sunset over snowy mountains with glowing solar ring in sky, reflection in icy lake, warm golden and purple clouds, cinematic fantasy lighting, atmospheric detail, high-resolution landscape, 8K quality","blurry ring, unrealistic reflection, low contrast sky, artificial snow"
3b29fe2bbe3aa2ad4ccfbde3d60da11f Kopie.jpg,"Abstract composition of layered translucent fabric structures in soft peach and copper tones, light-diffusing folds, organic flow and curvature, photorealistic textile detail, fine mesh texture, soft lighting, high-resolution macro","stiff fabric, harsh shadows, cartoon texture, pixelated edges"
3e39e3cb4fa14d08efadd84d0ed37341 Kopie.jpg,"Photorealistic close-up of a glowing golden seahorse floating in a sunlit underwater scene, surrounded by soft corals and marine particles, translucent fins, natural underwater light beams, organic textures, ultra-sharp detail, 8K resolution","low detail, plastic texture, hard shadows, CGI look, unrealistic fins"
3fba3693d910f94bb024d78fb6dd1a95 Kopie.jpg,"Macro image of a translucent shrimp with glowing red and blue bioluminescence, photorealistic underwater lighting, soft floating particles in dark water, sharp textures, detailed antennae and limbs, hyperreal rendering, 8K clarity","blurred shrimp, unrealistic colors, overexposed, flat detail, cartoon style"
