Bildname,Prompt,Negativprompt
0a60959603c356a4ae1a96410abff3cd.jpg,"A towering stone lighthouse being hit by massive ocean waves during a storm, dramatic lighting, dark stormy sky, hyperrealistic water splashes, cinematic composition, ultra high resolution, natural textures, realistic sea foam, fine details, 85mm lens, crisp and sharp","cartoon, low-res, CGI, fake textures, blurry, oversaturated, artifacts, distorted proportions, lens flares, plastic look, AI-like rendering"
1d0dfc925791baca70c71cfb4bc1ad98.jpg,"A serene rowboat under hanging willow trees on a still lake, lush green tones, mirror reflection in water, natural light, dreamy atmosphere, high detail foliage, peaceful composition, photorealistic, ultra high resolution","CGI, stylized, blur, artificial green, noise, low quality, overexposed, deformed reflections"
1da5a2b7e15a1932546ac6c065a72fc1 Kopie.jpg,"Aerial view of a turquoise ocean shore with rocks, crystal clear water, natural textures, bright daylight, highly detailed seabed, coastal landscape, photorealistic clarity, ultra high definition","cartoon, flat, overexposed, plastic texture, low quality water, unrealistic colors, digital artifacts"
2e93a73b6989616b75a1ec3059ef51af Kopie.jpg,"Top-down aerial photo of a colorful desert impact crater, natural mineral colors, intricate erosion textures, vivid sunlight, true color earth tones, ultra high resolution, sharp detail","sci-fi, digital painting, saturated glow, low-res, blurry, noisy, artificial gradients"
4afc6d4913b2ce7614e7eb951d771c49 Kopie.jpg,"Looking upward into a redwood forest, tall tree trunks converging at canopy, warm natural light filtering through leaves, high detail bark texture, immersive forest atmosphere, photorealism, ultra high resolution","CGI trees, flat lighting, artificial perspective, noise, fantasy forest, plastic textures"
4d5a6301488f9a2d39fb53daf3131e17.jpg,"Lightning storm over coastal waters at night, multiple bolts striking ocean, dramatic sky, sharp and detailed clouds, city lights visible below, ultra-realistic lighting and atmosphere, high resolution photo effect","rendered lightning, overexposed, artificial glow, pixelation, haze, surreal colors"
4dad64e72c097c36345b53e453cff687.jpg,"Close-up of a hippopotamus submerged in water, eyes and nostrils visible, realistic water texture and reflections, jungle vegetation background, moist skin detail, ultra high resolution, natural lighting","cartoon hippo, fantasy jungle, unnatural gloss, blur, bad proportions, digital painting"
6da4b068937a94e83b547e58e2e57761 Kopie.jpg,"Antelope canyon with beams of sand falling, deep warm red sandstone tones, diffused sunlight, silky smooth sand motion, photorealistic textures and depth, ultra high definition","low detail, overblown highlights, surreal sand, CGI look, low-res"
7a1b11381cb130c7966af6985aa06fc3 Kopie.jpg,"Moss-covered stone steps leading through a misty canyon, ancient natural pathway, glowing ambient light, wet rocky walls, lush vegetation, mystical forest scene, photorealistic, ultra high resolution","fantasy stairs, flat colors, smooth rocks, artificial moss, CGI rendering"
7ed0bb28e38fbc179fcc3ca07dcc2c23 Kopie.jpg,"Tall waterfall cascading over a tropical mountain into crystal pool terraces, vibrant green forest landscape, mist and clouds, aerial perspective, photorealism, ultra high resolution, cinematic scenery","overprocessed, fake water flow, blurry trees, surreal landscape, low detail"
8c58c6284962639ce7aafd4fd28d8a15 Kopie.jpg,"underwater view of a swan diving, crystal clear water, lush green algae, light reflections, photorealistic, ultra high resolution","blurry, low resolution, overexposed, distorted colors, unnatural composition, CGI look"
8e3d07baa0554e29521c5651a0bcf857-1 Kopie.jpg,"looking up through autumn tree canopy, sunlight filtering through yellow leaves, natural forest perspective, detailed branches, ultra photorealistic","cartoonish, oversaturated, artificial patterns, noise, bad perspective"
10e6f3f85b811e1d0673d74037c55b34 Kopie.jpg,"desert sand dunes with fine ripples, deep blue sky, sharp shadows, natural texture, detailed, high resolution, photorealistic SDXL output","washed out colors, low detail, stylized look, fake sand textures, out of focus"
26e601b08af4865c636b779a55f80368.jpg,"ocean splash at sunset, golden hour lighting, vivid water droplets, natural color gradient, hyper realistic, high resolution","low quality, fake water texture, overly smooth, noise artifacts"
28b5e84d33ca402452594b883efd8652 Kopie.jpg,"grand waterfall between canyon cliffs, vivid green vegetation, flowing water detail, atmospheric depth, natural lighting, photorealistic","fake perspective, AI artifacts, flat lighting, unrealistic vegetation"
