Dateiname,Prompt,Negative Prompt
2 Kopie.jpg,"A futuristic digital data corridor, glowing with transparent neon structures and layered light trails, high detail, dynamic perspective, volumetric lighting, cyberpunk atmosphere, ultra high resolution, photorealistic look","(blurry, noisy, cartoon, oversaturated, flat lighting, low resolution, unrealistic perspective)"
5cb31d721cc0715816c1eeb5fcf029bd Kopie.jpg,"An old sailing ship drawn in vintage ink and watercolor style, with a parchment background and navigational diagrams, soft shadows, high detail, historical realism","(modern style, digital glitch, anime, overly sharp, low detail, unrealistic shapes)"
50db248c323f42f65d6f806ff4e9ef6f.jpg,"Vibrant abstract oil painting with thick brush strokes in orange, blue and yellow, rich texture, impasto technique, modern expressionism, bold color contrast","(photorealism, smooth surfaces, pastel tones, blurry lines, grayscale)"
664bc4a9033b0ef5d71096645e523c94 Kopie.jpg,"Ancient Egyptian temple interior with monumental statues and wall carvings, warm sandstone texture, golden hour lighting, symmetrical perspective, ultra high detail, photorealistic look","(modern architecture, digital render, low detail, flat textures, unrealistic lighting)"
42511e02a59cb54539295f523643b339 Kopie.jpg,"Close-up of intricate golden ornamental relief, baroque style floral patterns, high detail, glowing highlights, metallic surface texture, ultra realism","(plastic texture, low resolution, flat surface, simplified pattern)"
55913f5ea5954603eb3465cf6985b55a.jpg,"Ancient Egyptian hieroglyph wall, carved and painted symbols in earthy tones, worn textures, historical realism, flat frontal view, archaeological photography style","(digital typography, modern writing, smooth surfaces, untextured wall)"
a883d908ddc6abfa873c30859edd7355 Kopie.jpg,"Dimly lit ancient Egyptian corridor with stone walls covered in carvings, torchlight illumination, atmospheric shadows, cinematic depth, mystical mood, ultra realistic","(bright daylight, flat lighting, anime style, low resolution, modern elements)"
a963d0cd4cdccb49489a24c8c8c2dd29.jpg,"Abstract industrial painting with black and red geometric lines, splatter and grid overlays, textured grayscale background, urban and edgy style, expressionist composition","(clean minimalism, pastel palette, symmetry, photorealism, smooth gradients)"
bf66563290dff412f93bbe03733294b4.jpg,"Hyperrealistic chrome sculptures of two human faces about to kiss, surreal liquid metal texture, high detail, soft studio lighting, mirrored surfaces","(rough texture, matte finish, cartoon style, low detail, unrealistic reflections)"
CAPPELLA_SISTINA_Ceiling.jpg,"The ceiling of the Sistine Chapel, Renaissance fresco with biblical scenes, intricate human figures, classical architecture, vibrant color palette, high detail, historical realism","(blurred details, modern art style, simplified figures, low resolution, abstract)"
cc7a5fff13e3dafa72c7abd6b0eba62a.jpg,"Colorful macro photograph of acrylic paint drops and marbled swirls, vibrant rainbow color palette, 3D spherical texture, high gloss surface, ultra detailed, photorealistic liquid paint reaction, macro photography","(flat colors, blurry, cartoon style, low detail, smooth surface, noise)"
cf343be9b30662149a81d092b174e11d Kopie.jpg,"Ancient Egyptian gold relief with hieroglyphs and winged goddess figure, highly detailed engravings, realistic metallic reflections, historical artifact photography, ultra sharp close-up, warm lighting","(flat metal, modern engraving, low resolution, unrealistic gold tone, cartoon texture)"
